,ABANY,ABDEFECT,ABFELEGL,ABHELP1,ABHELP2,ABHELP3,ABHELP4,ABHLTH,ABINSPAY,ABMEDGOV1,ABMEDGOV2,ABMELEGL,ABMORAL,ABNOMORE,ABPOOR,ABPOORW,ABRAPE,ABSINGLE,ABSTATE1,ABSTATE2,ACQNTSEX,ACTSSOC,adminconsent,ADULTS,ADVFRONT
755,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,Should,It depends,YES,YES,NOT WRONG AT ALL,YES,YES,Hard,Stay the same as now,NA,Good,R consents to possible data linkage,1,Agree
756,YES,YES,NA,Yes,No,Yes,Yes,YES,People should be able,NA,The government should decide,Should,Not morally opposed,YES,YES,NA,YES,YES,Easy,Stay the same as now,NA,Good,R consents to possible data linkage,3,NA
757,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,It depends,YES,YES,NOT WRONG AT ALL,YES,YES,Neither easy nor hard,Stay the same as now,NA,Very good,R consents to possible data linkage,2,Agree
758,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,YES,YES,NA,YES,YES,Easy,Stay the same as now,NA,Excellent,R does not consent to possible data linkage,2,NA
759,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,NO,YES,NOT WRONG AT ALL,YES,YES,Easy,Make it easier,NA,Very good,R does not consent to possible data linkage,1,Strongly agree
760,NO,YES,NA,Yes,No,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,It depends,It depends,YES,YES,WRONG ONLY SOMETIMES,YES,NO,Neither easy nor hard,Stay the same as now,NA,Excellent,R does not consent to possible data linkage,2,Agree
761,NA,NA,NA,No,No,No,No,NA,People should not be able,NA,A woman and her medical professional should decide,It depends,Morally opposed,NA,NA,NA,NA,NA,Very easy,Make it harder,NA,Very good,R does not consent to possible data linkage,3,NA
762,YES,YES,Should,Yes,No,No,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Easy,Stay the same as now,NA,Excellent,R does not consent to possible data linkage,2,Strongly agree
763,NA,NA,Should,Yes,Yes,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,NA,NA,NOT WRONG AT ALL,NA,NA,Easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,Agree
764,YES,YES,It depends,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,It depends,YES,YES,NA,YES,YES,Easy,Stay the same as now,NA,Good,R consents to possible data linkage,2,NA
765,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should not be able,A woman and her medical professional should decide,NA,It depends,Morally opposed,NA,NA,ALWAYS WRONG,YES,NA,Very easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,Strongly agree
766,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,NA,YES,YES,Easy,Stay the same as now,NA,Good,R consents to possible data linkage,2,NA
767,NO,NO,It depends,Yes,No,Yes,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,NO,NO,ALWAYS WRONG,YES,NO,Very easy,Make it harder,NA,Very good,R does not consent to possible data linkage,1,Agree
768,NO,YES,NA,Yes,Yes,No,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,Should,It depends,NO,NO,ALMOST ALWAYS WRONG,YES,NO,Easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,1,Strongly disagree
769,YES,YES,NA,Yes,No,No,Yes,YES,NA,A woman and her medical professional should decide,NA,It depends,It depends,YES,YES,NA,YES,YES,NA,Stay the same as now,NA,Good,R consents to possible data linkage,3,NA
770,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,NA,YES,YES,Neither easy nor hard,Make it easier,SEX W ACQUAINTANCE,Fair,R consents to possible data linkage,1,NA
771,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,It depends,It depends,NA,NA,WRONG ONLY SOMETIMES,NA,NA,Easy,Stay the same as now,NOT SELECTED,Very good,R does not consent to possible data linkage,1,Agree
772,YES,YES,It depends,Yes,Yes,Yes,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,NA,Morally opposed,YES,YES,WRONG ONLY SOMETIMES,YES,YES,Easy,Stay the same as now,NA,Fair,R consents to possible data linkage,2,Strongly agree
773,NO,YES,NA,Yes,No,Yes,NA,YES,People should be able,A woman and her medical professional should decide,NA,It depends,It depends,YES,YES,NOT WRONG AT ALL,YES,YES,Hard,Stay the same as now,NA,Fair,R consents to possible data linkage,1,Agree
774,NO,NO,Should not,No,No,No,No,YES,People should not be able,NA,A woman and her medical professional should decide,NA,Morally opposed,NO,NO,ALWAYS WRONG,YES,NO,Very easy,Make it harder,NA,Very good,R consents to possible data linkage,1,Agree
775,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,YES,YES,NA,YES,YES,Easy,Make it easier,NA,Very good,R consents to possible data linkage,2,NA
776,YES,YES,Should,Yes,No,No,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,It depends,YES,YES,NA,YES,YES,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,3,NA
777,YES,YES,NA,Yes,No,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,It depends,NO,YES,WRONG ONLY SOMETIMES,YES,YES,Easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,Strongly agree
778,YES,YES,NA,Yes,No,Yes,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,Should,Not morally opposed,YES,YES,NA,YES,YES,NA,NA,NA,Good,R consents to possible data linkage,4,NA
779,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,NA,YES,YES,Very easy,Stay the same as now,NA,Very good,R consents to possible data linkage,2,NA
780,NA,NA,Should not,No,No,No,No,NA,People should not be able,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,ALWAYS WRONG,NA,NA,Very easy,Make it harder,NA,Good,R consents to possible data linkage,1,Strongly agree
781,YES,YES,Should,Yes,No,No,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,NA,It depends,NO,YES,NA,YES,NO,NA,Make it easier,NA,Very good,R does not consent to possible data linkage,2,NA
782,NA,NA,NA,Yes,No,Yes,Yes,NA,People should not be able,NA,A woman and her medical professional should decide,Should not,It depends,NA,NA,NA,NA,NA,Easy,Make it harder,NA,Fair,R does not consent to possible data linkage,1,NA
783,NO,YES,It depends,No,No,No,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,NO,NA,NA,YES,YES,Neither easy nor hard,Stay the same as now,NA,Very good,R consents to possible data linkage,1,NA
784,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Easy,Stay the same as now,NA,Good,R consents to possible data linkage,2,Agree
785,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should not be able,NA,A woman and her medical professional should decide,It depends,It depends,NA,NA,NA,NA,NA,Easy,Stay the same as now,SEX W ACQUAINTANCE,Very good,R consents to possible data linkage,2,NA
786,NO,NO,Should not,No,No,No,Yes,NA,People should not be able,The government should decide,NA,NA,Morally opposed,NO,NO,ALWAYS WRONG,NO,NO,NA,NA,NA,Excellent,R does not consent to possible data linkage,2,Strongly agree
787,YES,YES,It depends,No,No,No,No,YES,People should not be able,The government should decide,NA,NA,Morally opposed,YES,YES,NA,YES,YES,Very easy,Make it harder,SEX W ACQUAINTANCE,Excellent,R consents to possible data linkage,2,NA
788,NO,YES,It depends,No,No,No,Yes,YES,People should not be able,The government should decide,NA,NA,It depends,NO,NO,ALWAYS WRONG,YES,NO,Neither easy nor hard,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,Agree
789,NO,YES,NA,No,No,Yes,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,Should,It depends,NO,NO,ALWAYS WRONG,NO,NO,NA,Stay the same as now,NA,Good,R consents to possible data linkage,2,Agree
790,NO,YES,NA,Yes,No,Yes,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,Should,Not morally opposed,YES,NO,NA,YES,YES,Neither easy nor hard,Stay the same as now,SEX W ACQUAINTANCE,Very good,R does not consent to possible data linkage,1,NA
791,YES,YES,It depends,Yes,NA,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,It depends,YES,YES,WRONG ONLY SOMETIMES,YES,YES,Hard,Make it easier,NA,Fair,R consents to possible data linkage,1,NA
792,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,YES,YES,NA,YES,YES,Hard,Make it easier,NA,Good,R does not consent to possible data linkage,2,NA
793,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Easy,Stay the same as now,NA,Good,R consents to possible data linkage,1,Agree
794,NO,YES,It depends,Yes,NA,NA,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,It depends,YES,YES,NA,YES,NO,NA,Stay the same as now,NA,Good,R does not consent to possible data linkage,3,NA
795,NA,NA,NA,Yes,No,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,NA,NA,NA,NA,NA,Neither easy nor hard,Make it easier,NA,Good,R does not consent to possible data linkage,2,NA
796,YES,YES,It depends,Yes,No,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,It depends,YES,YES,NA,YES,YES,Neither easy nor hard,Stay the same as now,NA,Very good,R consents to possible data linkage,2,NA
797,NA,NA,It depends,Yes,No,No,Yes,NA,People should not be able,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,ALWAYS WRONG,NA,NA,Easy,Make it harder,NA,Very good,R consents to possible data linkage,2,Strongly disagree
798,YES,YES,Should,Yes,No,No,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,NA,It depends,YES,YES,NOT WRONG AT ALL,YES,YES,Easy,Stay the same as now,NA,Good,R consents to possible data linkage,3,Agree
799,NA,NA,It depends,Yes,No,No,Yes,NA,People should be able,NA,A woman and her medical professional should decide,NA,It depends,NA,NA,NA,NA,NA,Easy,Stay the same as now,NOT SELECTED,Good,R consents to possible data linkage,2,NA
800,NO,YES,NA,No,No,Yes,Yes,YES,People should not be able,The government should decide,NA,Should not,Morally opposed,NO,NO,ALWAYS WRONG,NO,NO,Easy,Make it harder,NA,Very good,R consents to possible data linkage,1,Agree
801,NO,NO,NA,No,No,No,No,NO,People should not be able,NA,A woman and her medical professional should decide,Should not,Morally opposed,NO,NO,NA,NA,NO,Easy,Make it harder,NA,Good,R consents to possible data linkage,2,NA
802,NA,NA,It depends,Yes,No,Yes,Yes,NA,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,NA,NA,ALWAYS WRONG,NA,NA,Neither easy nor hard,Stay the same as now,NA,Excellent,R consents to possible data linkage,6,Disagree
803,NO,NO,It depends,NA,No,Yes,Yes,NA,People should not be able,NA,A woman and her medical professional should decide,NA,Morally opposed,NO,NO,WRONG ONLY SOMETIMES,NA,NO,Neither easy nor hard,Stay the same as now,NA,Good,R does not consent to possible data linkage,4,NA
804,NA,NA,NA,Yes,No,Yes,Yes,NA,People should not be able,NA,A woman and her medical professional should decide,It depends,Morally opposed,NA,NA,NA,NA,NA,NA,NA,NA,Very good,R does not consent to possible data linkage,2,NA
805,YES,YES,NA,No,No,No,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,NO,NOT WRONG AT ALL,YES,YES,Hard,Stay the same as now,NA,Fair,R consents to possible data linkage,2,Strongly agree
806,NA,NA,NA,Yes,No,Yes,Yes,NA,People should not be able,NA,A woman and her medical professional should decide,It depends,It depends,NA,NA,NA,NA,NA,Neither easy nor hard,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,NA
807,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,It depends,YES,YES,NOT WRONG AT ALL,YES,YES,NA,Make it easier,NA,Good,R consents to possible data linkage,3,Strongly agree
808,YES,YES,NA,Yes,No,No,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,Should,It depends,YES,YES,NA,YES,YES,Easy,Stay the same as now,NA,Good,R consents to possible data linkage,2,NA
809,YES,YES,Should,No,No,No,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,Morally opposed,YES,YES,NA,YES,YES,Very hard,Make it easier,NOT SELECTED,Good,R does not consent to possible data linkage,1,NA
810,NA,NA,NA,Yes,No,No,Yes,NA,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,NA,NA,NA,NA,NA,Neither easy nor hard,Make it easier,NA,Very good,R does not consent to possible data linkage,1,NA
811,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,NA,YES,YES,Easy,Make it easier,NA,Very good,R does not consent to possible data linkage,2,NA
812,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,Should,Morally opposed,YES,YES,NA,YES,YES,Neither easy nor hard,Stay the same as now,NA,Good,R consents to possible data linkage,1,NA
813,NA,NA,Should,Yes,No,No,Yes,NA,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,NA,NA,ALWAYS WRONG,NA,NA,NA,NA,NA,Fair,R does not consent to possible data linkage,2,Agree
814,NA,NA,Should,Yes,No,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,NA,NA,NOT WRONG AT ALL,NA,NA,Very easy,Stay the same as now,NA,Very good,R consents to possible data linkage,2,Strongly agree
815,NA,NA,It depends,Yes,No,No,Yes,NA,NA,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,ALWAYS WRONG,NA,NA,Neither easy nor hard,Stay the same as now,NA,Excellent,R consents to possible data linkage,2,Agree
816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,R does not consent to possible data linkage,1,NA
817,NO,NO,NA,No,No,No,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,Should not,Morally opposed,NO,NO,ALMOST ALWAYS WRONG,YES,NO,Very easy,Stay the same as now,NA,Good,R consents to possible data linkage,1,Agree
818,NO,YES,NA,Yes,No,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Morally opposed,NO,YES,NA,YES,YES,Very easy,Stay the same as now,SEX W ACQUAINTANCE,Very good,R consents to possible data linkage,1,NA
819,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should not be able,The government should decide,NA,It depends,It depends,NA,NA,ALMOST ALWAYS WRONG,NA,NA,Easy,Stay the same as now,NA,Good,R consents to possible data linkage,1,Agree
820,NO,YES,NA,Yes,No,Yes,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,It depends,It depends,YES,YES,NA,YES,YES,Easy,Stay the same as now,NOT SELECTED,Excellent,R consents to possible data linkage,3,NA
821,NA,NA,Should,Yes,Yes,Yes,Yes,NA,People should be able,NA,The government should decide,NA,It depends,NA,NA,NA,NA,NA,Neither easy nor hard,NA,NA,Very good,R does not consent to possible data linkage,2,NA
822,YES,YES,NA,NA,NA,NA,NA,YES,NA,NA,NA,NA,NA,YES,YES,NA,YES,YES,NA,NA,NA,Good,R does not consent to possible data linkage,2,NA
823,YES,YES,NA,Yes,No,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,Should,Not morally opposed,YES,YES,NA,YES,YES,Neither easy nor hard,Make it easier,NA,Very good,R consents to possible data linkage,3,NA
824,NA,NA,NA,Yes,No,Yes,Yes,NA,NA,NA,A woman and her medical professional should decide,It depends,It depends,NA,NA,NA,NA,NA,NA,NA,NA,Good,R does not consent to possible data linkage,3,NA
825,YES,YES,Should,Yes,No,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,YES,YES,NA,YES,YES,NA,Stay the same as now,NA,Good,R does not consent to possible data linkage,2,NA
826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALWAYS WRONG,NA,NA,NA,NA,NA,Excellent,R does not consent to possible data linkage,1,Agree
827,NO,YES,NA,Yes,Yes,Yes,Yes,YES,People should not be able,The government should decide,NA,It depends,It depends,NO,YES,WRONG ONLY SOMETIMES,YES,NO,Easy,Stay the same as now,NA,Good,R does not consent to possible data linkage,2,Agree
828,YES,YES,NA,Yes,No,Yes,Yes,YES,People should be able,NA,The government should decide,Should,It depends,YES,YES,NA,YES,YES,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,2,Agree
829,NO,NO,Should not,No,No,No,Yes,NO,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,NO,NO,NA,NO,NO,Very easy,Make it harder,NA,Very good,R does not consent to possible data linkage,1,NA
830,NA,NA,It depends,Yes,NA,Yes,Yes,NA,NA,NA,A woman and her medical professional should decide,NA,It depends,NA,NA,NA,NA,NA,NA,NA,NA,Good,R does not consent to possible data linkage,1,NA
831,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,NA,YES,YES,Neither easy nor hard,Make it easier,NOT SELECTED,Very good,R consents to possible data linkage,2,NA
832,NO,YES,NA,Yes,No,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,It depends,It depends,NO,YES,NA,YES,NO,Neither easy nor hard,Stay the same as now,NA,Good,R does not consent to possible data linkage,2,NA
833,NA,NA,NA,Yes,No,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,Should,Not morally opposed,NA,NA,NOT WRONG AT ALL,NA,NA,Neither easy nor hard,Make it easier,NA,Good,R consents to possible data linkage,2,Agree
834,NA,NA,NA,No,No,No,Yes,NA,People should be able,NA,A woman and her medical professional should decide,It depends,It depends,NA,NA,NA,NA,NA,NA,NA,NA,Very good,R consents to possible data linkage,2,NA
835,YES,YES,It depends,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,It depends,YES,YES,NA,YES,YES,NA,Make it harder,NA,Very good,R does not consent to possible data linkage,2,NA
836,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,Should,It depends,NA,NA,NA,NA,NA,Neither easy nor hard,Stay the same as now,NA,Good,R consents to possible data linkage,2,NA
837,NA,NA,Should not,No,No,No,No,NA,People should not be able,NA,NA,NA,Morally opposed,NA,NA,ALWAYS WRONG,NA,NA,NA,Make it harder,NA,Good,R consents to possible data linkage,2,Agree
838,NO,YES,NA,No,No,No,No,YES,People should not be able,The government should decide,NA,It depends,Not morally opposed,NO,NO,ALWAYS WRONG,NO,NO,Easy,Stay the same as now,NA,Excellent,R consents to possible data linkage,4,Agree
839,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,It depends,It depends,NA,NA,WRONG ONLY SOMETIMES,NA,NA,Easy,Stay the same as now,NA,Good,R consents to possible data linkage,1,Agree
840,NA,NA,NA,Yes,No,No,No,NA,People should not be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,NA,NA,NA,NA,NA,Very easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,NA
841,NO,NO,Should not,No,No,No,No,NO,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,NO,NO,ALWAYS WRONG,NO,NO,Very easy,Make it harder,NA,Good,R does not consent to possible data linkage,3,Agree
842,YES,YES,Should,Yes,No,Yes,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,YES,YES,NA,YES,YES,Hard,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,NA
843,NA,NA,Should,Yes,Yes,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,NA,NA,NA,NA,NA,Neither easy nor hard,Stay the same as now,NA,Good,R consents to possible data linkage,2,Strongly agree
844,NO,YES,It depends,No,No,No,No,YES,People should not be able,NA,A woman and her medical professional should decide,NA,It depends,NO,NO,ALWAYS WRONG,NO,NO,Neither easy nor hard,Make it easier,NA,Good,R does not consent to possible data linkage,NA,Agree
845,NO,NO,NA,Yes,No,Yes,Yes,YES,People should be able,NA,NA,It depends,Morally opposed,NO,NA,NA,YES,NO,Very easy,Make it harder,NA,Very good,R consents to possible data linkage,2,NA
846,YES,YES,It depends,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,It depends,YES,YES,NOT WRONG AT ALL,YES,YES,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,2,Agree
847,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,NA,YES,YES,Hard,Make it easier,NA,Excellent,R does not consent to possible data linkage,2,NA
848,NA,NA,It depends,Yes,No,Yes,Yes,NA,People should not be able,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,ALWAYS WRONG,NA,NA,Neither easy nor hard,Stay the same as now,NA,Good,R does not consent to possible data linkage,2,Strongly agree
849,YES,YES,NA,Yes,No,No,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,It depends,YES,NA,ALMOST ALWAYS WRONG,YES,YES,Easy,Stay the same as now,NA,Good,R consents to possible data linkage,2,Agree
850,YES,YES,Should,No,No,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,It depends,YES,YES,NA,YES,YES,Hard,Make it easier,NA,Good,R does not consent to possible data linkage,2,NA
851,NA,NA,It depends,No,No,No,Yes,NA,People should not be able,NA,A woman and her medical professional should decide,NA,It depends,NA,NA,NA,NA,NA,Neither easy nor hard,Stay the same as now,NA,Excellent,R does not consent to possible data linkage,2,NA
852,YES,YES,NA,Yes,No,No,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,It depends,It depends,YES,YES,NA,YES,YES,Very easy,Stay the same as now,SEX W ACQUAINTANCE,Good,R consents to possible data linkage,4,NA
853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT WRONG AT ALL,NA,NA,NA,NA,NA,Good,R does not consent to possible data linkage,2,Agree
854,NO,NO,Should,Yes,NA,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,NA,It depends,NO,NO,WRONG ONLY SOMETIMES,YES,YES,Very easy,Make it harder,NA,Very good,R does not consent to possible data linkage,2,Strongly agree
855,NO,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,It depends,It depends,NA,YES,WRONG ONLY SOMETIMES,YES,NO,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,1,Strongly agree
856,YES,YES,It depends,Yes,No,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,YES,YES,NA,YES,YES,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,2,NA
857,NO,NO,NA,No,No,No,Yes,NO,People should not be able,NA,A woman and her medical professional should decide,Should not,Morally opposed,NO,NO,ALWAYS WRONG,NO,NO,Easy,Make it harder,NA,Good,R consents to possible data linkage,5,Agree
858,NO,YES,It depends,Yes,No,Yes,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,NO,NO,NA,NO,NO,Very easy,Stay the same as now,NA,Very good,R consents to possible data linkage,2,NA
859,NA,NA,It depends,No,No,No,No,NA,NA,NA,A woman and her medical professional should decide,NA,It depends,NA,NA,NA,NA,NA,NA,Stay the same as now,NA,Very good,R consents to possible data linkage,3,NA
860,NO,YES,NA,Yes,No,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,It depends,Morally opposed,NO,NO,NA,NO,NO,NA,Stay the same as now,NA,Good,R consents to possible data linkage,1,NA
861,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,Should,It depends,NA,NA,NA,NA,NA,NA,Stay the same as now,NOT SELECTED,Very good,R does not consent to possible data linkage,2,NA
862,YES,YES,It depends,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,It depends,YES,YES,WRONG ONLY SOMETIMES,YES,YES,NA,Stay the same as now,NA,Very good,R consents to possible data linkage,2,Strongly agree
863,YES,YES,NA,Yes,No,No,No,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,NA,YES,YES,Very easy,NA,NA,Excellent,R does not consent to possible data linkage,2,NA
864,NO,NO,Should not,No,No,No,No,YES,People should not be able,The government should decide,NA,NA,Morally opposed,NO,NO,NA,NO,NO,NA,Make it harder,SEX W ACQUAINTANCE,Very good,R does not consent to possible data linkage,3,NA
865,NA,NA,NA,No,No,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,It depends,It depends,NA,NA,NA,NA,NA,Easy,Make it easier,NA,Very good,R does not consent to possible data linkage,2,NA
866,YES,YES,It depends,Yes,No,No,Yes,YES,NA,A woman and her medical professional should decide,NA,NA,It depends,NO,NO,ALMOST ALWAYS WRONG,YES,NO,Easy,Stay the same as now,NA,Fair,R consents to possible data linkage,4,Agree
867,NO,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,It depends,Not morally opposed,YES,YES,NA,YES,YES,Very easy,Stay the same as now,SEX W ACQUAINTANCE,Very good,R consents to possible data linkage,3,NA
868,NO,NO,Should not,No,No,No,Yes,NO,People should not be able,NA,A woman and her medical professional should decide,NA,Morally opposed,NO,NO,NA,NO,NO,Very easy,Make it harder,NA,Good,R consents to possible data linkage,2,NA
869,NA,NA,It depends,Yes,No,Yes,Yes,NA,People should not be able,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,NA,NA,NA,Very easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,3,Disagree
870,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,It depends,YES,YES,ALWAYS WRONG,YES,YES,NA,NA,NA,Very good,R consents to possible data linkage,2,Strongly agree
871,YES,YES,It depends,Yes,No,Yes,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,NA,It depends,YES,YES,NA,YES,YES,Very easy,Stay the same as now,NA,Good,R does not consent to possible data linkage,1,NA
872,NA,NA,Should,Yes,No,No,Yes,NA,People should not be able,NA,A woman and her medical professional should decide,NA,It depends,NA,NA,NA,NA,NA,Hard,Stay the same as now,NA,Good,R does not consent to possible data linkage,1,NA
873,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Neither easy nor hard,Stay the same as now,NA,Good,R does not consent to possible data linkage,3,Strongly agree
874,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,Should,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Easy,Make it easier,NA,Good,R consents to possible data linkage,2,Strongly agree
875,NO,NO,NA,No,No,No,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,Should not,Morally opposed,NO,NO,NA,NO,NO,Very easy,Make it harder,NA,Excellent,R does not consent to possible data linkage,2,NA
