Mnemonic,Description
RAGEEMP,IMPORTANCE OF AGE
RAISEALL,ALL WORKERS REGARDLESS OF PERFORMANCE GOT RAISE
RAISED,SITUATION CAUSED BY THE WAY HE OR SHE WAS RAISED
RAISEFAV,WORKERS HAVE FAVORED RELATION TO BOSS GOT RAISE
RAISEHRD,WORKERS WHO WORK HARD AND PERFORM WELL GOT RAISE
RANDOM,RANDOMIZATION FOR FORM X
RANK,R'S SELF RANKING OF SOCIAL POSITION
RANK10,R'S SOCIAL RANK 10 YEARS AGO
RAP,LIKE OR DISLIKE RAP MUSIC
RATEPAIN,"IN THE PAST 7 DAYS, R'S AVERAGE PAIN"
RATETONE,R'S FACIAL COLORING BY INTERVIEWER
RCLOSE1,R FEELS ESPECIALLY CLOSE TO PERSON #1
RCLOSE2,R FEELS ESPECIALLY CLOSE TO PERSON #2
RCLOSE3,R FEELS ESPECIALLY CLOSE TO PERSON #3
RCLOSE4,R FEELS ESPECIALLY CLOSE TO PERSON #4
RCLOSE5,R FEELS ESPECIALLY CLOSE TO PERSON #5
RCONTACT,DO YOU HAVE PERSONAL CONTACT AT WORK
RDEEMLIB,CONTRAST BETWEEN REDEEMER AND LIBERATOR
RDISCAFF,CHANCES FAMILY MEMBER NOT PROMOTED FOR OTHER RACE
RDK,DON'T KNOW RESPONSE TO UNEMPLOYMENT ITEMS
RDOWELL,IMPORTANCE OF PERFORMANCE
REACTOK,DID R FEEL REACTION WAS APPROPRIATE
READFICT,READ NOVELS POEMS OR PLAYS
READWORD,HOW OFTEN DID R READ BIBLE LAST YEAR
REALINC,FAMILY INCOME IN CONSTANT $
REALRINC,R'S INCOME IN CONSTANT $
REALTOR1,WHAT WAS THE MOST IMPORTANT REASON?
REALTORA,R'S OWN PREVIOUS KNOWLEDGE MADE R CHOOSE
REALTORB,A FRIEND-RELATIVE RECOMMENDED R CHOOSE
REALTORC,AN ACQUAINTANCE RECOMMENDED R CHOOSE
REALTORD,GENERAL REPUTATION MADE R CHOOSE
REALTORE,I SAW THEIR ADVERTISEMENT MADE R CHOOSE
REALTORF,CONVENIENCE MADE R CHOOSE THE REALTOR
REBORN,HAS R EVER HAD A 'BORN AGAIN' EXPERIENCE
RECYCLE,RECYCLE CANS BOTTLES
REDCEHME,HOW OFTEN REDUCE FUEL
REDEEMER,IMAGE OF GOD AS REDEEMER
REDUCEMP,IMPORTANCE OF EDUC. & FORMAL QUAL.
REFMORWK,TAKE ON ADDITIONAL PAID WORK?
REFPROMO,REFUSE A JOB PROMOTION?
REFRNDMS,REFERENDUM ARE GOOD WAY TO DECIDE IMPORTANT POL QUEST
REFUGEES,REFUGEES SHOULD BE ALLOWED TO STAY IN AMERICA?
REFXHOUR,REFUSE TO WORK OVERTIME OR EXTRA HOURS?
REG16,"REGION OF RESIDENCE, AGE 16"
REGDOC,R HAS REGULAR DOCTOR OR CLINIC
REGDOCYR,R HAS HAD DOCTOR FOR MORE THAN ONE YEAR
REGGAE,LIKE OR DISLIKE REGGAE MUSIC
REGION,REGION OF INTERVIEW
REINCAR,BELIEVE IN REINCARNATION
RELACTIV,HOW OFTEN DOES R TAKE PART IN RELIG ACTIVITIES
RELACTIV1,HOW OFTEN DOES R TAKE PART IN RELIG ACTIVITIES
RELAGENT,YOUR RELATIONSHIP TO THE REAL ESTATE AGENT
RELALT1,REL CHANGE ALTERED R'S OUTLOOK ON LIFE
RELALT2,REL CHANGE MADE R SENSE LIFE WAS MEANINGFUL
RELALT3,REL CHANGE CHANGED GOALS IN LIFE
RELALT4,REL CHANGE POSITIVELY AFFECTED RELATION WITH OTHERS
RELALT5,REL CHANGE CHANGED DAY TO DAY ACTIVITIES
RELALT6,REL CHANGE CHANGED LIFE OVERALL
RELART,HAD EXPERIENCE OF ART AT PLACE OF WORSHIP
RELATE1,RELATIONSHIP OF 1ST PERSON TO HOUSEHOLD HEAD
RELATE10,RELATIONSHIP OF 10TH PERSON TO HOUSEHOLD HEAD
RELATE11,RELATION OF 11TH PERSON (VISITOR) TO HEAD
RELATE12,RELATION OF 12TH PERSON (VISITOR) TO HEAD
RELATE13,RELATION OF 13TH PERSON (VISITOR) TO HEAD
RELATE14,RELATION OF 14TH PERSON (VISITOR) TO HEAD
RELATE2,RELATIONSHIP OF 2ND PERSON TO HOUSEHOLD HEAD
RELATE3,RELATIONSHIP OF 3RD PERSON TO HOUSEHOLD HEAD
RELATE4,RELATIONSHIP OF 4TH PERSON TO HOUSEHOLD HEAD
RELATE5,RELATIONSHIP OF 5TH PERSON TO HOUSEHOLD HEAD
RELATE6,RELATIONSHIP OF 6TH PERSON TO HOUSEHOLD HEAD
RELATE7,RELATIONSHIP OF 7TH PERSON TO HOUSEHOLD HEAD
RELATE8,RELATIONSHIP OF 8TH PERSON TO HOUSEHOLD HEAD
RELATE9,RELATIONSHIP OF 9TH PERSON TO HOUSEHOLD HEAD
RELATSEX,RELATION TO LAST SEX PARTNER
RELBSTSC,BEST POLICY ON STEM CELL VS NARROW INTEREST: RELIG LEADER
RELCALL,CONTACT WITH MOST CONTACTED REL
RELCAND,OF PARTY R  PREFERS
RELCMFRT,FIND STRENGTH AND COMFORT IN RELIGION
RELDEALR,R RELATIONSHIP TO THE SALESPERSON
RELEXP,HAVE RELIGIOUS EXPERIENCE CHANGED LIFE
RELEXPER,TURNING POINT IN LIFE FOR RELIGION
RELEXT1,VIEWS
RELEXT2,PEOPLE SHOULD BE ALLOWED TO PUBLISH BOOKS EXPRESSING THEIR VIEWS
RELEXT3,RELIGIOUS EXTREMISTS SHOULD BE ALLOWED TO PUBLISH THEIR VIEWS ON THE INTERNET
RELFIXER,RELATIONSHIP TO THE PERSON WHO DID THE WORK
RELGENBAR,RELIGIONS ARE USUALLY      A BARRIER  TO EQUALITY  BETWEEN      WOMEN   AND   MEN
RELGENDR,WHAT IS YOUR RELATIONSHIP SITUATION
RELGENEQ,R'S RELIGION  TREATS   MEN  AND  WOMEN   EQUALLY
RELGRADE,GRADE GIVEN RELIGION
RELGRPEQ,ALL RELIGIOUS GROUPS IN USA SHOULD HAVE EQUAL RIGHTS
RELHH1,RELATIONSHIP OF PERSON 1 TO HEAD OF HOUSEHOLD
RELHH10,RELATIONSHIP OF PERSON 10 TO HEAD OF HOUSEHOLD
RELHH11,RELATIONSHIP OF PERSON 11 TO HEAD OF HOUSEHOLD
RELHH12,RELATIONSHIP OF PERSON 12 TO HEAD OF HOUSEHOLD
RELHH13,RELATIONSHIP OF PERSON 13 TO HEAD OF HOUSEHOLD
RELHH14,RELATIONSHIP OF PERSON 14 TO HEAD OF HOUSEHOLD
RELHH2,RELATIONSHIP OF PERSON 2 TO HEAD OF HOUSEHOLD
RELHH3,RELATIONSHIP OF PERSON 3 TO HEAD OF HOUSEHOLD
RELHH4,RELATIONSHIP OF PERSON 4 TO HEAD OF HOUSEHOLD
RELHH5,RELATIONSHIP OF PERSON 5 TO HEAD OF HOUSEHOLD
RELHH6,RELATIONSHIP OF PERSON 6 TO HEAD OF HOUSEHOLD
RELHH7,RELATIONSHIP OF PERSON 7 TO HEAD OF HOUSEHOLD
RELHH8,RELATIONSHIP OF PERSON 8 TO HEAD OF HOUSEHOLD
RELHH9,RELATIONSHIP OF PERSON 9 TO HEAD OF HOUSEHOLD
RELHHD1,RELATION OF 1ST PERSON TO HOUSEHOLD HEAD
RELHHD10,RELATION OF 1OTH PERSON TO HOUSEHOLD HEAD
RELHHD11,RELATION OF 11TH PERSON (VISITOR) TO HEAD
RELHHD12,RELATION OF 12TH PERSON (VISITOR) TO HEAD
RELHHD13,RELATION OF 13TH PERSON (VISITOR) TO HEAD
RELHHD14,RELATION OF 14TH PERSON (VISITOR) TO HEAD
RELHHD2,RELATION OF 2ND PERSON TO HOUSEHOLD HEAD
RELHHD3,RELATION OF 3RD PERSON TO HOUSEHOLD HEAD
RELHHD4,RELATION OF 4TH PERSON TO HOUSEHOLD HEAD
RELHHD5,RELATION OF 5TH PERSON TO HOUSEHOLD HEAD
RELHHD6,RELATION OF 6TH PERSON TO HOUSEHOLD HEAD
RELHHD7,RELATION OF 7TH PERSON TO HOUSEHOLD HEAD
RELHHD8,RELATION OF 8TH PERSON TO HOUSEHOLD HEAD
RELHHD9,RELATION OF 9TH PERSON TO HOUSEHOLD HEAD
RELHOME,RELATIONSHIP TO THE PREVIOUS OWNER OF THE HOME
RELHRS1,HOURS RELIGIOUS ACT IN HOME
RELHRS2,HOURS RELIGIOUS ACT OUTSIDE OF HOME
RELID1,PROTESTANT IDENTIFICATION 1ST MENTION
RELID2,PROTESTANT IDENTIFICATION 2ND MENTION
RELID3,PROTESTANT IDENTIFICATION 3RD MENTION
RELIDBST,PROTESTANT IDENTIFICATION BEST GROUP
RELIEDON,PPL AT WORK CAN BE RELIED ON WHEN NEEDS HELP
RELIG,R'S RELIGIOUS PREFERENCE
RELIG1,RELIGIOUS PREFERENCE OF PERSON #1
RELIG16,RELIGION IN WHICH RAISED
RELIG2,RELIGIOUS PREFERENCE OF PERSON #2
RELIG3,RELIGIOUS PREFERENCE OF PERSON #3
RELIG30,R USE RELIGION SITE IN PAST 30 DAYS
RELIG4,RELIGIOUS PREFERENCE OF PERSON #4
RELIG5,RELIGIOUS PREFERENCE OF PERSON #5
RELIGCON,RELIGIONS BRING MORE CONFLICT
RELIGID,R'S RELIGIOUS IDENTITY
RELIGINF,US WOULD BE BETTER IF LESS RELIGIOUS
RELIGINT,RELIGIOUS PEOPLE ARE OFTEN TOO INTOLERANT
RELIGKID,RELIGION R WAS RAISED IN
RELIGPUB,BETTER IF MORE BELIEVERS HELD PUBLIC OFFICE
RELIGSP,R'S SPOUSE'S RELIGION
RELINFSC,INFLUENCE ON FUNDING FOR STEM CELL RSCH: RELIGIOUS LEADERS
RELITEN,STRENGTH OF AFFILIATION
RELITENA,STRENGTH OF AFFILIATION
RELLAW,RELATIONSHIP TO THE ATTORNEY
RELLIFE,TRY TO CARRY BELIEFS INTO OTHER DEALINGS
RELMARRY,R ACCEPTS   A PERSON   FROM   A DIFFERENT   RELIGION   OR VIEW  FROM   R'S MARRYING    RELATIVE
RELMEET,ALLOWED TO HOLD PUB MEETING FOR RELIGIOUS EXTREMIST
RELMHSP1,PATIENT WAS SELF
RELMHSP2,PATIENT WAS IMMEDIATE FAMILY
RELMHSP3,PATIENT WAS OTHER RELATIVES
RELMHSP4,PATIENT WAS CLOSE FRIEND
RELMHSP5,PATIENT WAS ACQUAINTANCE
RELMHSP6,PATIENT WAS OTHER
RELMOST,ADULT RELATIVE R HAS MOST CONTACT WITH
RELNEG,ANY TURNING POINT WHEN LESS COMMITTED TO RELIGION
RELNUM,"NUMBER OF ADULT NIECES, NEPHEWS, ETC"
RELOBJCT,DISPLAY
RELPAST,"IN AMERICA, RELIGION REPRESENTS THE PAST AND NOT THE FUTURE."
RELPERSN,R CONSIDER SELF A RELIGIOUS PERSON
RELPRIVT,RELATIONSHIP TO THE SELLER OF THE VEHICLE
RELRLVNT,"IN AMERICA,   RELIGION  IS JUST  AS RELEVANT   TO  LIFE TODAY  AS  IT  WAS IN THE PAST."
RELSCH,CHILDREN ATTEND OTHER CHURCH SCHOOL
RELSCRPT,R HAS READ RELIGIOUS TEXT OUTSIDE OF A SERVICE IN THE PAST YEAR
RELSP1,RELATIONSHIP OF PERSON 1 TO SPOUSE OF HOUSEHOL
RELSP10,RELATIONSHIP OF PERSON 10 TO SPOUSE OF HOUSEHO
RELSP11,RELATIONSHIP OF PERSON 11 TO SPOUSE OF HOUSEHO
RELSP12,RELATIONSHIP OF PERSON 12 TO SPOUSE OF HOUSEHO
RELSP13,RELATIONSHIP OF PERSON 13 TO SPOUSE OF HOUSEHO
RELSP14,RELATIONSHIP OF PERSON 14 TO SPOUSE OF HOUSEHO
RELSP2,RELATIONSHIP OF PERSON 2 TO SPOUSE OF HOUSEHOL
RELSP3,RELATIONSHIP OF PERSON 3 TO SPOUSE OF HOUSEHOL
RELSP4,RELATIONSHIP OF PERSON 4 TO SPOUSE OF HOUSEHOL
RELSP5,RELATIONSHIP OF PERSON 5 TO SPOUSE OF HOUSEHOL
RELSP6,RELATIONSHIP OF PERSON 6 TO SPOUSE OF HOUSEHOL
RELSP7,RELATIONSHIP OF PERSON 7 TO SPOUSE OF HOUSEHOL
RELSP8,RELATIONSHIP OF PERSON 8 TO SPOUSE OF HOUSEHOL
RELSP9,RELATIONSHIP OF PERSON 9 TO SPOUSE OF HOUSEHOL
RELSPRT,IS R SPIRITUAL PERSON
RELSPRT1,FIND STRENGTH RELIGION OR SPIRITUALITY
RELSPRT2,FIND COMFORT IN RELIGION OR SPIRITUALITY
RELTIME,TRAVEL TIME TO MOST CONTACTED REL
RELTRUTH,HOW MUCH TRUTH IN RELIGION
RELVISIT,HOW OFTEN VISIT MOST CONTACTED REL
REORG,THERE WAS A MAJOR REORGANIZATION
REPAIRS,WHO IN HOUSEHOLD DOES SMALL REPAIRS
REPAIRS1,WHO IN HOUSEHOLD DOES SMALL REPAIRS
REPLACEU,HOW EASY R'S FIRM REPLACES R IF R LEFT
REPTIL,"REPTILE (TURTLE, SNAKE, LIZARD)"
REPTILB4,"REPTILE (TURTLE, SNAKE, LIZARD)"
REQINFO,RESP. OF GOV. TO REQUIRE BIZ. TO PROVIDE INFO
RES16,TYPE OF PLACE LIVED IN WHEN 16 YRS OLD
RES161,WHERE SPEND CHILDHOOD UNTIL AGE 16?
RES2006,WAS R LIVING IN USA DURING MARCH-MAY 2006
RES2008,WAS R LIVING IN USA DURING APRIL-JUNE 2008
RES2010,WAS R LIVING IN USA DURING APRIL-JUNE 2010
RES2012,WAS R LIVING IN USA DURING APRIL-JUNE 2012
RESDEFWK,LOCAL ECONOMY DEPENDS ON DEFENSE WORK?
RESNATUR,HUMANS SHOULD RESPECT NATURECREATED BY GOD
RESPECT,R TREATED WITH RESPECT AT WORK
RESPNUM,NUMBER IN FAMILY OF R
RESPOND,ESTIMATE OF THE PROBABILITY THAT THIS HOUSEHOLD WILL RESPOND TO THE SURVEY
RESPONSI,RESPONSIBLE
RESPONSY,RESPONSIBLE-VERSION Y
RESPONSZ,RESPONSIBLE-VERSION Z
RESTACT,AFTERLIFE CONTRAST: PEACEFUL OR ACTION
RESTLESS,FELT RESTLESS?
RETCHNGE,R RETURNED MONEY AFTER GETTING TOO MUCH CHANGE
REVMEET,ALLOWED TO HOLD PUB MEETING FOR PPL WHO WANT OVERTHROW
REVOLTRS,FEEL ABOUT PEOPLE WANT TO OVERTHROW GOV
REVPUB,ALLOW REVOLUTIONARIES TO PUBLISH BOOKS
REVSPEAK,ALLOW REVOLUTIONARY PUBLIC MEETINGS
REVTCH15,ALLOW REVOLUTIONARIES TO TEACH CHILDREN
REWRDEFF,EFFORT REWARDED IN AMERICA
REWRDINT,INTELLIGENCE AND SKILL REWARDED IN AMERICA
REXPERNC,IMPORTANCE OF EXPERIENCE
RFAMLOOK,HOURS R SPENDS LOOKING AFTER FAMILY MEMBERS
RFAMRESP,IMPORTANCE OF FAMILY RESPS.
RFLEXHRS,R'S JOB HAS FLEXIBLE HRS.
RFREENOW,R HAVE MORE FREEDOM THAN IN PAST
RGHTSMIN,HOW IMPORTANT: GOVT PROTECT RIGHT OF MINORITIES
RGROOMED,R GROOMING RATING
RHHWORK,HOW MANY HOURS A WEEK DOES R SPEND ON HH WORK
RHIINC,R'S INCOME IS HIGH
RHLPOTHS,R HELPS OTHERS IN JOB
RHLPSOC,R'S JOB IS USEFUL TO SOCIETY
RHLTHEND,R HEALTH RATING
RHMEWRK,HOW MUCH HOUSEWORK R DOES
RHOWFREE,HOW MUCH FREEDOM DOES R HAVE
RICHEDUC,RICH BUY BETTER EDUCATION THAN POOR
RICHHLTH,RICH BUY BETTER HEALTH CARE THAN POOR
RICHPOOR,OK TO GET RICH EVEN IF OTHERS POOR
RICHWORK,"IF RICH, CONTINUE OR STOP WORKING"
RIFLE,RIFLE IN HOME
RIFLES50,SHOULD HIGH POWER RIFLE SALE BE LIMITED TO MILITARY
RIGHTPEO,RELIGION HELPS PEOPLE TO MEET THE RIGHT KIND OF PEOPLE
RIGHTREF,HAVE A RIGHT TO REFUSE FURTHER TREATMENT
RIMMDISC,CHANCES ILLEGAL IMMIGRANTS FAVORED OVER FAMILY
RIMPSKLS,JOB GIVES R CHANCE TO IMPROVE SKILLS
RINCBLLS,INCOME ALONE IS ENOUGH
RINCOM06,RESPONDENTS INCOME
RINCOM16,RESPONDENTS INCOME
RINCOM77,RESPONDENTS INCOME
RINCOM82,RESPONDENTS INCOME
RINCOM86,RESPONDENTS INCOME
RINCOM91,RESPONDENTS INCOME
RINCOM98,RESPONDENTS INCOME
RINCOME,RESPONDENTS INCOME
RINTJOB,R'S JOB IS INTERESTING
RLEISURE,R'S JOB LEAVES MUCH LEISURE TIME
RLOOKS,R PHYSICAL ATTRACTIVENESS RATING
ROBBRY,FORCEFULLY ROBBED DURING THE LAST YEAR
ROBJECT,DID R OBJECT TO OR DELAY ANSWERING CARD C4
ROLE,ACTS LIKE BOY-ACTS LIKE GIRL
ROLECCP,ROLE OF CHILDCARE PROVDRS WITH KIDS
ROLECLRG,ROLE OF CLERGY WITH KIDS
ROLEGP,ROLE OF GRANDPARENTS WITH KIDS
ROLEMA,ROLE OF MOTHERS WITH KIDS
ROLEPA,ROLE OF FATHER'S WITH KIDS
ROLETCHR,ROLE OF TEACHERS WITH KIDS
ROLEY,ACTS LIKE BOY-ACTS LIKE GIRL-VERSION Y
ROLEZ,ACTS LIKE BOY-ACTS LIKE GIRL-VERSION Z
ROMANCE,DO YOU HAVE A MAIN ROMANTIC INVOLVEMENT
ROSARIES,CATHOLIC ROSARIES ARE SUPERSTITIOUS
ROTAPPLE,R AGREES IMMORAL PERSON CORRUPTS SOCIETY
ROWNGUN,DOES GUN BELONG TO R
RPAYSAME,IMPORTANCE OF STANDARD RATES
RPLACE,R'S RELATIONSHIP TO HOUSEHOLD HEAD
RPROMOTN,R HAS OPPORTUNITY TO ADVANCE
RPRTST1,WOULD YOU ATTEND A PUBLIC MEETING
RPRTST15,HOW MANY TIMES BE A PUBLIC MEETING PAST 5 YRS
RPRTST3,WOULD YOU GO ON A PROTEST MARCH-DEMONSTRATION
RPRTST35,HOW MANY TIMES GONE ON A PROTEST MARCH PAST 5 YRS
RPTCOWRK,REPORT COWORKERS THREATENING SECRECY OF WORK
RPTPROBS,PPL FEEL FREE TO REPORT PROBLEMS IN WORKPLACE
RSECJOB,R'S JOB IS SECURE
RSPCTREL,WE MUST RESPECT ALL RELIGIONS
RUDEWK,TREATED RUDELY AT WORK
RUMORWK,RUMORS OR GOSSIP ABOUT R AT WORK
RUNBANKS,BANKS SHOULD MAINLY BE RUN BY PRIVATE
RUNDRSTD,DID R APPEAR TO UNDERSTAND 3-BOX ANSWER FORMAT
RUNHOSP,HOSPITALS SHOULD MAINLY BE RUN BY PRIVATE
RUNPOWER,ELECTRIC POWER SHOULD MAINLY BE RUN BY PRIVATE
RUSHED,HOW OFTEN R FEELS RUSHED
RUSSIA,LIKING FOR RUSSIA
RVISITOR,IS R A VISITOR?
RWEIGHT,R WEIGHT RATING
RWRKBABY,DID R WORK WHEN KID WAS PRESCHOOLER
RWRKGRWN,DID R WORK AFTER KIDS LEFT HOME
RWRKINDP,R CAN WORK INDEPENDENTLY
RWRKNOKD,DID R WORK AFTR MARRGE BUT BEFORE KIDS
RWRKSCH,DID R WORK AFTER YOUNGEST IN SCHOOL
RXMED,X SHOULD TAKE PRESCRIPTION MEDICATION
RYRSFIRM,IMPORTANCE OF TENURE
SAD,FELT SAD?
SADBLUE,R IS A PERSON WHO FEELS SAD AND BLUE
SAFEFRST,NO SHORTCUTS ON WORKER SAFETY
SAFEHLTH,SAFETY AND HEALTH CONDITION GOOD AT WORK
SAFETYWK,WORKER SAFETY PRIORITY AT WORK
SALABORT,"SALIENCE, ABORTION LAWS"
SALFERGT,"SALIENCE, WOMEN'S RIGHTS"
SALLABOR,"SALIENCE, LABOR LEADERS"
SALSATFN,"SALIENCE, FINANCIAL SATISFACTION"
SALSCI,"SALIENCE, SCIENTIFIC COMMUNITY"
SALTH2O,OCEAN WATER FOR VEGETABLES
SAMEJOB,CURRENT JOB SAME OR DIFFERENT FROMFIRST JOB
SAMEVALS,MY VALUES AND THE ORG.'S VALUES ARE VERY SIMILAR
SAMEWORK,WORKED AT OTHER SITE WITH SIMILAR PRODUCT
SAMPCODE,SAMPLING ERROR CODE
SAMPLE,SAMPLING FRAME AND METHOD
SAQGENE,R DID GENE MODULE FOR 2004
SAQISSP,R DID ISSP MODULE
SAQSEX,R DID SEX MODULE
SATCAR,HOW SATISFIED ARE YOU WITH YOUR PURCHASE?
SATCITY,CITY OR PLACE R LIVES IN
SATDEMOC,R SATISFIED WITH WAY DEMOCRACY WORKS IN AMERICA
SATFAM,FAMILY LIFE
SATFAM7,FAMILY SATISFACTION IN GENERAL
SATFIN,SATISFACTION WITH FINANCIAL SITUATION
SATFIXES,HOW SATISFIED WERE YOU WITH THE WORK
SATFRND,FRIENDSHIPS
SATHEALT,HEALTH AND PHYSICAL CONDITION
SATHOBBY,"NON-WORKING ACTIVITIES, HOBBIES"
SATHOME,HOW SATISFIED WITH YOUR PURCHASE
SATJOB,WORK SATISFACTION
SATJOB1,JOB SATISFACTION IN GENERAL
SATJOB7,JOB SATISFACTION IN GENERAL
SATJOBHV,JOB SATISFACTION
SATLAWYR,HOW SATISFIED WITH THE LEGAL SERVICES
SATLIFE,R IS SATISFIED WITH THEIR LIFE
SATSELF,ON THE WHOLE I AM SATISFIED WITH MYSELF
SATSOC,R'S SATISFACTION WITH SOCIAL ACTIVITIES AND RELATIONSHIPS
SATURDAY,ATTENDED RELIGIOUS SERVICES LAST SATURDAY
SAVEJOBS,GOVT SUPPORT FOR DECLINING INDUSTRIES
SAVESOUL,TRIED TO CONVINCE OTHERS TO ACCEPT JESUS
SAYGRACE,DOES R'S FAMILY SAY GRACE BEFORE MEALS
SBALIVE1,R 1ST SIBLING ALIVE?
SBALIVE2,R 2ND SIBLING ALIVE?
SBALIVE3,R 3RD SIBLING ALIVE?
SBALIVE4,R 4TH SIBLING ALIVE?
SBALIVE5,R 5TH SIBLING ALIVE?
SBALIVE6,R 6TH SIBLING ALIVE?
SBALIVE7,R 7TH SIBLING ALIVE?
SBALIVE8,R 8TH SIBLING ALIVE?
SBALIVE9,R 9TH SIBLING ALIVE?
SBDEG,HIGHEST SCHL GRADE OF SELECTED R SIBLING
SBEDUC,HIGHEST SCHL GRADE OF SELECTED R SIBLING
SBEVWORK,DID R SIBLING WORK FOR 1 OR MORE YR?
SBIND10,R SIBLING INDUSTRY CODE (2010)
SBIND80,R SIBLING INDUSTRY CODE (1980)
SBINDSTATUS,SBIND10 CODING STATUS
SBINDTAG,SBIND10 CODING TAG
SBOCC10,R SIBLING CENSUS OCCUPATION CODE (2010)
SBOCC80,R SIBLING CENSUS OCCUPATION CODE (1980)
SBOCCINDV,SIBLING'S OCC/IND VERBATIM RETRIEVED
SBOCCSTATUS,SBOCC10 CODING STATUS
SBOCCTAG,SBOCC10 CODING TAG
SBPICKED,NUMBER OF SIBLING RANDOMLY CHOSEN
SBPRES10,R SIBLING OCCUPATIONAL PRESTIGE SCORE (2010)
SBPRES105PLUS,R SIBLING OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
SBPRES80,R SIBLING OCCUPATIONAL PRESTIGE SCORE (1980)
SBREL1,R RELATION TO R 1ST SIBLING
SBREL2,R RELATION TO R 2ND SIBLING
SBREL3,R RELATION TO R 3RD SIBLING
SBREL4,R RELATION TO R 4TH SIBLING
SBREL5,R RELATION TO R 5TH SIBLING
SBREL6,R RELATION TO R 6TH SIBLING
SBREL7,R RELATION TO R 7TH SIBLING
SBREL8,R RELATION TO R 8TH SIBLING
SBREL9,R RELATION TO R 9TH SIBLING
SBSEX1,SEX OF R 1ST SIBLING
SBSEX2,SEX OF R 2ND SIBLING
SBSEX3,SEX OF R 3RD SIBLING
SBSEX4,SEX OF R 4TH SIBLING
SBSEX5,SEX OF R 5TH SIBLING
SBSEX6,SEX OF R 6TH SIBLING
SBSEX7,SEX OF R 7TH SIBLING
SBSEX8,SEX OF R 8TH SIBLING
SBSEX9,SEX OF R 9TH SIBLING
SBWORK1,DOES R SIBLING DO PAID WORK?
SBWORK2,DOES R SIBLING DO PAID OR UNPAID WORK?
SBWRKSLF,R SIBLING SELF-EMPLOYED?
SBYRBRN1,BIRTH YEAR OF R 1ST SIBLING
SBYRBRN2,BIRTH YEAR OF R 2ND SIBLING
SBYRBRN3,BIRTH YEAR OF R 3RD SIBLING
SBYRBRN4,BIRTH YEAR OF R 4TH SIBLING
SBYRBRN5,BIRTH YEAR OF R 5TH SIBLING
SBYRBRN6,BIRTH YEAR OF R 6TH SIBLING
SBYRBRN7,BIRTH YEAR OF R 7TH SIBLING
SBYRBRN8,BIRTH YEAR OF R 8TH SIBLING
SBYRBRN9,BIRTH YEAR OF R 9TH SIBLING
SCHL30,R USE SCHOOL SITE IN PAST 30 DAYS
SCHLETH,ETHNICITY OR PROFESSIONAL SCHOOLS MIRROR STUDENTS
SCHLHEAD,DID R CORRECTLY NAME LOCAL SCHOOL HEAD
SCHLPRAY,SHOULD THERE BE DAILY PRAYER IN PUBLIC SCHOOLS?
SCHOOL,SCHOOL RELATED DEMONSTRATION
SCHOOLNG,IMPORTANCE FORMAL SCHOOL FOR YOU JOB
SCI30,R USE SCIENCE SITE IN PAST 30 DAYS
SCIAGRGW,EXTENT OF AGREEMENT ON GLOBAL WARMING AMG ENV SCIENTISTS
SCIBNFTS,BENEFITS OF SCI RESEARCH OUTWEIGH HARMFUL RESULTS
SCIBSTGW,BEST POLICY VS NARROW INTEREST: ENVIRONMENTAL SCIENTIST
SCICHNG,SCIENCE CHANGES WAY OF LIFE TOO FAST
SCIENTAL,SCIENTISTS USUALLY WORK ALONE
SCIENTBE,SCIENTISTS WANT TO MAKE LIFE BETTER FOR AVG PERSON
SCIENTBR,BEING A SCIENTIST BORING
SCIENTDA,HAPPY IF DAUGHTER SCIENTIST
SCIENTDN,SCIENTIFIC WORK DANGEROUS
SCIENTDO,KNOW WHAT SCIENTISTS DO
SCIENTFU,SCIENTISTS DON’T HAVE FUN
SCIENTGO,SCIENTISTS WORK FOR GOOD OF HUMANITY
SCIENTHE,SCIENTISTS HELP SOLVE PROB
SCIENTMO,SCIENTISTS EARN LESS
SCIENTOD,SCIENTISTS ODD AND PECULIAR
SCIENTR,CONSIDER CAREER IN SCIENCE
SCIENTRE,SCIENTISTS NOT RELIGIOUS
SCIENTSN,HAPPY IF SON SCIENTIST
SCIENTWK,SCIENTISTS ONLY INTERESTED IN WORK
SCIFAITH,"BELIEVE TOO MUCH IN SCIENCE, NOT ENOUGH FAITH"
SCIFROM,MAIN SOURCE OF INFORMATION ABOUT SCIENCE AND TECHNOLOGY
SCIFROMY,WHERE GET SCIENCE AND TECHNOLOGY INFO
SCIGRN,MODERN SCIENCE WILL SOLVE ENVIR PROBS
SCIIMP1,HOW IMPORTANT: DONE BY SCIENTISTS IN UNIVERSITY SETTINGS
SCIIMP2,HOW IMPORTANT: HAVING ADVANCED DEGREES IN THEIR FIELDS
SCIIMP3,HOW IMPORTANT: CONCLUSION BASED ON SOLID EVIDENCE
SCIIMP4,HOW IMPORTANT: EXAMINING DIFFERENT INTERPRETATION OF RESULTS
SCIIMP5,HOW IMPORTANT: RESULTS CONSISTENT WITH RELIGIOUS BELIEFS
SCIIMP6,HOW IMPORTANT: RESULTS CONSISTENT WITH COMMON SENSE
SCIIMP7,HOW IMPORTANT: REPEATING EXPERIMENT & FINDING SAME RESULT
